Implemented,Has ArgInfo,Function,Mapped Method,Implementation Comment,Function Comment
,,Window-related functions,,,
x,,"void InitWindow(int width, int height, const char *title);",raylib\Window::init(),,Initialize window and OpenGL context
x,,bool WindowShouldClose(void);,raylib\Window::shouldClose() : bool,,Check if KEY_ESCAPE pressed or Close icon pressed
x,,void CloseWindow(void);,raylib\Window::close(),,Close window and unload OpenGL context
x,,bool IsWindowReady(void);,raylib\Window::isReady() : bool,,Check if window has been initialized successfully
x,,bool IsWindowFullscreen(void);,raylib\Window::isWindowFullscreen(),,Check if window is currently fullscreen
x,,bool IsWindowHidden(void);,raylib\Window::isHidden() : bool,,Check if window is currently hidden (only PLATFORM_DESKTOP)
x,,bool IsWindowMinimized(void);,raylib\Window::isMinimized() : bool,,Check if window is currently minimized (only PLATFORM_DESKTOP)
x,,bool IsWindowMaximized(void);,raylib\Window::isMaximized() : bool,,Check if window is currently maximized (only PLATFORM_DESKTOP)
x,,bool IsWindowFocused(void);,raylib\Window::isFocused() : bool,,Check if window is currently focused (only PLATFORM_DESKTOP)
x,,bool IsWindowResized(void);,raylib\Window::isResized() : bool,,Check if window has been resized last frame
x,,bool IsWindowState(unsigned int flag);,raylib\Window::isState(int $flags) : bool,,Check if one specific window flag is enabled
x,,void SetWindowState(unsigned int flags);,raylib\Window::setState(int $flags),,Set window configuration state using flags
x,,void ClearWindowState(unsigned int flags);,raylib\Window::clearState(int $flags),,Clear window configuration state flags
x,,void ToggleFullscreen(void);,raylib\Window::toggleFullscreen(),,Toggle window state: fullscreen/windowed (only PLATFORM_DESKTOP)
x,,void MaximizeWindow(void);,raylib\Window::maximize(),,"Set window state: maximized, if resizable (only PLATFORM_DESKTOP)"
x,,void MinimizeWindow(void);,raylib\Window::minimize(),,"Set window state: minimized, if resizable (only PLATFORM_DESKTOP)"
x,,void RestoreWindow(void);,raylib\Window::restore(),,Set window state: not minimized/maximized (only PLATFORM_DESKTOP)
x,,void SetWindowIcon(Image image);,raylib\Window::setIcon(\raylib\Image $image),,Set icon for window (only PLATFORM_DESKTOP)
x,,void SetWindowTitle(const char *title);,raylib\Window::setTitle(string $title),,Set title for window (only PLATFORM_DESKTOP)
x,,"void SetWindowPosition(int x, int y);","raylib\Window::setPosition(int $x, int $y)",,Set window position on screen (only PLATFORM_DESKTOP)
x,,void SetWindowMonitor(int monitor);,raylib\Window::setMonitor(int $monitor),,Set monitor for the current window (fullscreen mode)
x,,"void SetWindowMinSize(int width, int height);","raylib\Window::setMinSize(int $width, int $height)",,Set window minimum dimensions (for FLAG_WINDOW_RESIZABLE)
x,,"void SetWindowSize(int width, int height);","raylib\Window::setSize(int $width, int $height)",,Set window dimensions
,,void *GetWindowHandle(void);,--,Cannot Implement,Get native window handle
x,,int GetScreenWidth(void);,raylib\Window::getScreenWidth() : int ,,Get current screen width
x,,int GetScreenHeight(void);,raylib\Window::getScreenHeight() : int ,,Get current screen height
x,,int GetMonitorCount(void);,raylib\Window::getMonitorCount() : int ,,Get number of connected monitors
x,,Vector2 GetMonitorPosition(int monitor);,raylib\Window::getMonitorPosition(int $monitor) : \raylib\Vector2,,Get specified monitor position
x,,int GetMonitorWidth(int monitor);,raylib\Window::getMonitorWidth(int $monitor) : int ,,Get specified monitor width
x,,int GetMonitorHeight(int monitor);,raylib\Window::getMonitorHeight(int $monitor) : int ,,Get specified monitor height
x,,int GetMonitorPhysicalWidth(int monitor);,raylib\Window::getMonitorPhysicalWidth(int $monitor) : int ,,Get specified monitor physical width in millimetres
x,,int GetMonitorPhysicalHeight(int monitor);,raylib\Window::getMonitorPhysicalHeight(int $monitor) : int ,,Get specified monitor physical height in millimetres
x,,int GetMonitorRefreshRate(int monitor);,raylib\Window::getMonitorRefreshRate(int $monitor) : int ,,Get specified monitor refresh rate
x,,Vector2 GetWindowPosition(void);,raylib\Window::getPosition() : \raylib\Vector2,,Get window position XY on monitor
x,,Vector2 GetWindowScaleDPI(void);,raylib\Window::getScaleDPI() : \raylib\Vector2,,Get window scale DPI factor
x,,const char *GetMonitorName(int monitor);,raylib\Window::getMonitorName(int $monitor) : string,,"Get the human-readable, UTF-8 encoded name of the primary monitor"
x,,void SetClipboardText(const char *text);,raylib\Window::setClipboardText(string $text),,Set clipboard text content
x,,const char *GetClipboardText(void);,raylib\Window::getClipboardText() : string,,Get clipboard text content
,,            ,,,
,,Cursor-related functions         ,,,
x,,void ShowCursor(void);,raylib\Cursor::show(),,Shows cursor
x,,void HideCursor(void);,raylib\Cursor::hide(),,Hides cursor
x,,bool IsCursorHidden(void);,raylib\Cursor::isHidden(),,Check if cursor is not visible
x,,void EnableCursor(void);,raylib\Cursor::enable(),,Enables cursor (unlock cursor)
x,,void DisableCursor(void);,raylib\Cursor::disable(),,Disables cursor (lock cursor)
x,,bool IsCursorOnScreen(void),raylin\Cursor::isOnScreen(),,Check if cursor is on the current screen.
,,            ,,,
,,Drawing-related functions            ,,,
,,void ClearBackground(Color color);,raylib\Draw::clearBackground(raylib\Color $color),,Set background color (framebuffer clear color)
,,void BeginDrawing(void);,raylib\Draw::begin(),,Setup canvas (framebuffer) to start drawing
,,void EndDrawing(void);,raylib\Draw::end(),,End canvas drawing and swap buffers (double buffering)
,,void BeginMode2D(Camera2D camera);,raylib\Draw::beginMode2d(raylib\Camera2D $camera2d),,Initialize 2D mode with custom camera (2D)
,,void EndMode2D(void);,raylib\Draw::endMode2d(),,Ends 2D mode with custom camera
,,void BeginMode3D(Camera3D camera);,raylib\Draw::beginMode3d(raylib\Camera3D camera3d),,Initializes 3D mode with custom camera (3D)
,,void EndMode3D(void);,raylib\Draw::endMode3d(),,Ends 3D mode and returns to default 2D orthographic mode
,,void BeginTextureMode(RenderTexture2D target);,raylib\RenderTexture->begin(),,Initializes render texture for drawing
,,void EndTextureMode(void);,raylib\RenderTexture->end(),,Ends drawing to render texture
,,"void BeginScissorMode(int x, int y, int width, int height);",raylib\Draw::beginScissorMode(),,Begin scissor mode (define screen area for following drawing)
,,void EndScissorMode(void);,raylib\Draw::endScissorMode(),,End scissor mode
,,,,,
,,Screen-space-related functions,,,
,,"Ray GetMouseRay(Vector2 mousePosition, Camera camera);",TODO,,Returns a ray trace from mouse position
,,Matrix GetCameraMatrix(Camera camera);,TODO,,Returns camera transform matrix (view matrix)
,,Matrix GetCameraMatrix2D(Camera2D camera);,TODO,,Returns camera 2d transform matrix
,,"Vector2 GetWorldToScreen(Vector3 position, Camera camera);",TODO,,Returns the screen space position for a 3d world space position
,,"Vector2 GetWorldToScreenEx(Vector3 position, Camera camera, int width, int height);",TODO,,Returns size position for a 3d world space position
,,"Vector2 GetWorldToScreen2D(Vector2 position, Camera2D camera);",TODO,,Returns the screen space position for a 2d camera world space position
